Country Name,"Country Code","Series","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]","2026 [YR2026]","2027 [YR2027]","2028 [YR2028]","2029 [YR2029]","2030 [YR2030]","2031 [YR2031]","2032 [YR2032]","2033 [YR2033]","2034 [YR2034]","2035 [YR2035]","2036 [YR2036]","2037 [YR2037]","2038 [YR2038]","2039 [YR2039]","2040 [YR2040]","2041 [YR2041]","2042 [YR2042]","2043 [YR2043]","2044 [YR2044]","2045 [YR2045]","2046 [YR2046]","2047 [YR2047]","2048 [YR2048]","2049 [YR2049]","2050 [YR2050]","2055 [YR2055]","2060 [YR2060]","2065 [YR2065]","2070 [YR2070]","2075 [YR2075]","2080 [YR2080]","2085 [YR2085]","2090 [YR2090]","2095 [YR2095]","2100 [YR2100]"
Albania,"ALB","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","","","","","","","","","","","","25.16428","27.99386","","","","","","","","43.6474","46.51689","48.41001","49.36845","51.03988","52.70955","53.49601","54.02891","54.95607","55.11399","56.0783","58.00259","48.07037","35.80265","35.85797","36.92981","39.89354","40.95692","40.52646","42.31086","44.13253","45.23442","44.79487","48.33761","49.66252","51.28998","53.76874","54.83866","58.60956","61.71825","65.03855","70.0033","77.32688","81.55834","83.35005","86.41825","87.68227","83.82008","80.49873","75.75499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,"ALB","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","119.32974","","114.95519","112.15107","107.44397","104.95196","103.52771","102.56646","103.48936","103.67783","103.56321","101.45642","99.58477","99.43751","99.45175","101.23315","99.55587","98.52026","101.52879","104.04384","106.30182","108.01988","107.17116","105.73665","104.19619","102.96737","101.41151","100.00514","98.178","100.67604","97.87571","96.34563","95.6825","93.10456","93.49047","95.00608","97.58513","99.98391","104.10804","105.54298","105.55386","107.0466","106.99342","104.81274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Albania,"ALB","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","84.97426","","86.50983","88.25525","90.19371","91.18642","87.04559","82.00112","82.24953","85.28297","88.39249","87.83218","88.60357","88.8033","90.08174","90.89363","77.71476","70.33512","68.72906","68.67849","67.86755","69.36618","71.31361","71.54467","71.07808","72.53716","72.86855","75.24344","74.80221","77.90939","79.18955","82.20059","84.12509","85.69499","88.10389","89.79816","92.28983","96.25608","97.68487","97.38848","95.715","95.26589","95.43233","95.08659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Austria,"AUT","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","","","","","","","","","","","","30.82319","32.91591","35.44544","38.56633","41.8278","45.20126","48.17462","53.46527","58.09703","60.89919","62.03496","62.84181","64.03703","65.67865","68.16185","71.99378","73.99218","72.86986","71.02432","71.51101","72.09907","73.10984","75.4896","78.5934","78.6338","79.35611","80.18115","79.89919","79.04097","79.90164","81.5127","83.60645","86.26103","88.24196","88.96066","89.92086","91.18306","93.89929","97.18798","100.72959","100.81418","103.59786","100.18848","101.01944","102.5314","104.22311","104.38375","103.29884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Austria,"AUT","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","","","","","","","","","","","","103.29578","102.76067","101.15191","100.04668","99.6858","99.2475","99.49437","97.31035","96.7834","96.23175","96.39433","97.27445","97.0768","97.07764","96.60672","99.10386","100.93278","103.76162","105.55528","105.30173","104.12055","103.90969","103.31158","102.41308","102.36504","102.39691","102.8261","103.63034","103.78485","103.67232","102.94747","101.25148","100.46382","100.72132","100.83262","101.55929","101.67125","100.72594","100.20248","99.78978","99.7387","100.59906","101.21012","101.62819","101.99748","102.26436","103.11315","103.31685","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Austria,"AUT","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","","","","","","","","","","","","88.69344","","","","","90.73838","","","","","92.38189","91.18525","92.10242","91.97629","93.78589","97.10359","97.88426","98.55265","99.04705","101.1709","102.79965","104.80587","106.29354","106.82464","106.58471","105.65033","105.12297","97.74473","98.4441","98.69606","98.9575","99.02117","99.4792","99.52356","100.35335","100.32996","99.70887","99.42073","99.64985","98.80721","98.06147","97.84332","99.19738","99.66308","100.321","100.96302","100.45521","99.95784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,"BEL","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","","","","","","","","","","","","99.76163","100.25658","101.40989","104.60944","106.50045","108.37226","107.05785","103.11543","101.2359","101.29682","103.07738","105.50391","107.75842","110.16759","111.71511","111.61598","107.81909","104.67165","102.64548","103.38296","104.45363","110.99538","114.27843","117.1088","118.21443","117.02286","","","108.53545","109.67374","110.63129","112.50084","114.81359","115.83693","119.41279","118.88985","118.01522","117.93306","118.35961","119.37523","120.61282","120.08512","118.83549","118.24409","117.01423","116.09559","115.14532","114.03566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,"BEL","Gross enrolment ratio, primary, both sexes (%)","SE.PRM.ENRR","","","","","","","","","","","","108.42098","107.24074","101.25906","103.58981","103.86289","104.68372","104.96783","104.80211","104.07689","104.03979","103.48176","102.84063","99.70972","98.88648","98.27522","98.80319","99.95233","101.18807","101.55944","101.05853","100.28592","98.92967","102.45771","101.82412","101.79541","102.01518","","","103.82362","104.83442","104.07656","103.16723","102.36091","100.80021","100.46234","100.73419","101.53422","102.15756","102.12756","101.92424","101.9468","102.25605","103.82197","103.64806","103.15581","103.31777","103.90557","103.3507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Belgium,"BEL","Gross enrolment ratio, secondary, both sexes (%)","SE.SEC.ENRR","","","","","","","","","","","","81.94648","83.66768","84.21455","84.60319","83.93175","83.64764","84.80814","86.90569","88.10342","88.91199","90.09132","92.08065","92.39892","95.30458","97.74851","99.4001","99.75166","100.67177","101.08852","101.38937","101.67705","102.74649","141.39991","144.50628","146.5033","146.36202","","","141.85725","144.87628","153.80124","155.90697","158.63028","153.40534","159.89013","161.01921","159.51427","158.74341","156.63837","156.86153","156.63317","157.79477","160.91923","162.29934","163.93472","161.03316","158.54185","155.96108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Channel Islands,"CHI","Gross enrolment ratio, pre-primary, both sexes (%)","SE.PRE.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
